sample	treatment	time	file
P30857_103	KNO3	8h	data/salmon/P30857_103_S1_L001_R1_001.fastq.gz/quant.sf
P30857_104	KCL	48h	data/salmon/P30857_104_S2_L001_R1_001.fastq.gz/quant.sf
P30857_105	KCL	12h	data/salmon/P30857_105_S3_L001_R1_001.fastq.gz/quant.sf
P30857_106	KNO3	8h	data/salmon/P30857_106_S4_L001_R1_001.fastq.gz/quant.sf
P30857_107	KNO3	4h	data/salmon/P30857_107_S5_L001_R1_001.fastq.gz/quant.sf
P30857_108	KCL	24h	data/salmon/P30857_108_S6_L001_R1_001.fastq.gz/quant.sf
P30857_109	KNO3	24h	data/salmon/P30857_109_S7_L001_R1_001.fastq.gz/quant.sf
P30857_110	KNO3	2h	data/salmon/P30857_110_S8_L001_R1_001.fastq.gz/quant.sf
P30857_111	KCL	4h	data/salmon/P30857_111_S9_L001_R1_001.fastq.gz/quant.sf
P30857_112	KNO3	2h	data/salmon/P30857_112_S10_L001_R1_001.fastq.gz/quant.sf
P30857_113	KNO3	24h	data/salmon/P30857_113_S11_L001_R1_001.fastq.gz/quant.sf
P30857_114	KCL	8h	data/salmon/P30857_114_S12_L001_R1_001.fastq.gz/quant.sf
P30857_115	KCL	4h	data/salmon/P30857_115_S13_L001_R1_001.fastq.gz/quant.sf
P30857_116	KCL	24h	data/salmon/P30857_116_S14_L001_R1_001.fastq.gz/quant.sf
P30857_117	KCL	2h	data/salmon/P30857_117_S15_L001_R1_001.fastq.gz/quant.sf
P30857_118	KNO3	48h	data/salmon/P30857_118_S16_L001_R1_001.fastq.gz/quant.sf
P30857_119	KNO3	8h	data/salmon/P30857_119_S17_L001_R1_001.fastq.gz/quant.sf
P30857_120	KNO3	4h	data/salmon/P30857_120_S18_L001_R1_001.fastq.gz/quant.sf
P30857_121.1	KNO3	0h	data/salmon/P30857_121_S19_L001_R1_001.fastq.gz/quant.sf
P30857_121.2	KCL	0h	data/salmon/P30857_121_S19_L001_R1_001.fastq.gz/quant.sf
P30857_122	KNO3	48h	data/salmon/P30857_122_S20_L001_R1_001.fastq.gz/quant.sf
P30857_123	KCL	2h	data/salmon/P30857_123_S21_L001_R1_001.fastq.gz/quant.sf
P30857_124	KNO3	4h	data/salmon/P30857_124_S22_L001_R1_001.fastq.gz/quant.sf
P30857_125	KCL	4h	data/salmon/P30857_125_S23_L001_R1_001.fastq.gz/quant.sf
P30857_126	KNO3	24h	data/salmon/P30857_126_S24_L001_R1_001.fastq.gz/quant.sf
P30857_127.1	KNO3	0h	data/salmon/P30857_127_S25_L001_R1_001.fastq.gz/quant.sf
P30857_127.2	KCL	0h	data/salmon/P30857_127_S25_L001_R1_001.fastq.gz/quant.sf
P30857_128	KNO3	48h	data/salmon/P30857_128_S26_L001_R1_001.fastq.gz/quant.sf
P30857_129	KNO3	2h	data/salmon/P30857_129_S27_L001_R1_001.fastq.gz/quant.sf
P30857_130	KNO3	48h	data/salmon/P30857_130_S28_L001_R1_001.fastq.gz/quant.sf
P30857_131	KCL	2h	data/salmon/P30857_131_S29_L001_R1_001.fastq.gz/quant.sf
P30857_132	KCL	2h	data/salmon/P30857_132_S30_L001_R1_001.fastq.gz/quant.sf
P30857_133	KNO3	2h	data/salmon/P30857_133_S31_L001_R1_001.fastq.gz/quant.sf
P30857_134.1	KNO3	0h	data/salmon/P30857_134_S32_L001_R1_001.fastq.gz/quant.sf
P30857_134.2	KCL	0h	data/salmon/P30857_134_S32_L001_R1_001.fastq.gz/quant.sf
P30857_135	KCL	48h	data/salmon/P30857_135_S33_L001_R1_001.fastq.gz/quant.sf
P30857_136.1	KNO3	0h	data/salmon/P30857_136_S34_L001_R1_001.fastq.gz/quant.sf
P30857_136.2	KCL	0h	data/salmon/P30857_136_S34_L001_R1_001.fastq.gz/quant.sf
P30857_137	KNO3	12h	data/salmon/P30857_137_S35_L001_R1_001.fastq.gz/quant.sf
P30857_138	KCL	48h	data/salmon/P30857_138_S36_L001_R1_001.fastq.gz/quant.sf
P30857_139	KCL	8h	data/salmon/P30857_139_S37_L001_R1_001.fastq.gz/quant.sf
P30857_140	KCL	12h	data/salmon/P30857_140_S38_L001_R1_001.fastq.gz/quant.sf
P30857_141	KNO3	4h	data/salmon/P30857_141_S39_L001_R1_001.fastq.gz/quant.sf
P30857_142	KNO3	12h	data/salmon/P30857_142_S40_L001_R1_001.fastq.gz/quant.sf
P30857_143	KCL	8h	data/salmon/P30857_143_S41_L001_R1_001.fastq.gz/quant.sf
P30857_144	KNO3	24h	data/salmon/P30857_144_S42_L001_R1_001.fastq.gz/quant.sf
P30857_145	KCL	8h	data/salmon/P30857_145_S43_L001_R1_001.fastq.gz/quant.sf
P30857_146	KCL	24h	data/salmon/P30857_146_S44_L001_R1_001.fastq.gz/quant.sf
P30857_147	KCL	48h	data/salmon/P30857_147_S45_L001_R1_001.fastq.gz/quant.sf
P30857_148	KCL	12h	data/salmon/P30857_148_S46_L001_R1_001.fastq.gz/quant.sf
P30857_149	KCL	24h	data/salmon/P30857_149_S47_L001_R1_001.fastq.gz/quant.sf
P30857_150	KCL	12h	data/salmon/P30857_150_S48_L001_R1_001.fastq.gz/quant.sf
P30857_151	KNO3	12h	data/salmon/P30857_151_S49_L001_R1_001.fastq.gz/quant.sf
P30857_152	KNO3	12h	data/salmon/P30857_152_S50_L001_R1_001.fastq.gz/quant.sf
