User ID,NGI Id,Treatment,Time treated (in hours),Time point number,Original Sample ID,Species,Genotype
Sample 2,#N/A,KCL,4,2,18,Populus tremula x P. tremuloides,T89
Sample 4,#N/A,KNO3,8,3,22,Populus tremula x P. tremuloides,T89
Sample 6,P30857_103,KNO3,8,3,24,Populus tremula x P. tremuloides,T89
Sample 19,P30857_104,KCL,48,6,52,Populus tremula x P. tremuloides,T89
Sample 20,P30857_105,KCL,12,4,36,Populus tremula x P. tremuloides,T89
Sample 21,P30857_106,KNO3,8,3,23,Populus tremula x P. tremuloides,T89
Sample 22,P30857_107,KNO3,4,2,14,Populus tremula x P. tremuloides,T89
Sample 23,P30857_108,KCL,24,5,43,Populus tremula x P. tremuloides,T89
Sample 25,P30857_109,KNO3,24,5,40,Populus tremula x P. tremuloides,T89
Sample 26,P30857_110,KNO3,2,1,5,Populus tremula x P. tremuloides,T89
Sample 27,P30857_111,KCL,4,2,19,Populus tremula x P. tremuloides,T89
Sample 28,P30857_112,KNO3,2,1,6,Populus tremula x P. tremuloides,T89
Sample 29,P30857_113,KNO3,24,5,39,Populus tremula x P. tremuloides,T89
Sample 30,P30857_114,KCL,8,3,26,Populus tremula x P. tremuloides,T89
Sample 31,P30857_115,KCL,4,2,17,Populus tremula x P. tremuloides,T89
Sample 32,P30857_116,KCL,24,5,41,Populus tremula x P. tremuloides,T89
Sample 33,P30857_117,KCL,2,1,11,Populus tremula x P. tremuloides,T89
Sample 34,P30857_118,KNO3,48,6,48,Populus tremula x P. tremuloides,T89
Sample 35,P30857_119,KNO3,8,3,21,Populus tremula x P. tremuloides,T89
Sample 36,P30857_120,KNO3,4,2,13,Populus tremula x P. tremuloides,T89
Sample 37,P30857_121,None,0,0,2,Populus tremula x P. tremuloides,T89
Sample 39,P30857_122,KNO3,48,6,47,Populus tremula x P. tremuloides,T89
Sample 40,P30857_123,KCL,2,1,12,Populus tremula x P. tremuloides,T89
Sample 41,P30857_124,KNO3,4,2,16,Populus tremula x P. tremuloides,T89
Sample 42,P30857_125,KCL,4,2,20,Populus tremula x P. tremuloides,T89
Sample 43,P30857_126,KNO3,24,5,37,Populus tremula x P. tremuloides,T89
Sample 44,P30857_127,NO,0,0,4,Populus tremula x P. tremuloides,T89
Sample 47,P30857_128,KNO3,48,6,45,Populus tremula x P. tremuloides,T89
Sample 48,P30857_129,KNO3,2,1,8,Populus tremula x P. tremuloides,T89
Sample 49,P30857_130,KNO3,48,6,46,Populus tremula x P. tremuloides,T89
Sample 50,P30857_131,KCL,2,1,10,Populus tremula x P. tremuloides,T89
Sample 51,P30857_132,KCL,2,1,9,Populus tremula x P. tremuloides,T89
Sample 52,P30857_133,KNO3,2,1,7,Populus tremula x P. tremuloides,T89
Sample 53,P30857_134,None,0,0,1,Populus tremula x P. tremuloides,T89
Sample 54,P30857_135,KCL,48,6,50,Populus tremula x P. tremuloides,T89
Sample 55,P30857_136,None,0,0,3,Populus tremula x P. tremuloides,T89
Sample 56,P30857_137,KNO3,12,4,29,Populus tremula x P. tremuloides,T89
Sample 57,P30857_138,KCL,48,6,49,Populus tremula x P. tremuloides,T89
Sample 58,P30857_139,KCL,8,3,25,Populus tremula x P. tremuloides,T89
Sample 59,P30857_140,KCL,12,4,34,Populus tremula x P. tremuloides,T89
Sample 60,P30857_141,KNO3,4,2,15,Populus tremula x P. tremuloides,T89
Sample 61,P30857_142,KNO3,12,4,32,Populus tremula x P. tremuloides,T89
Sample 62,P30857_143,KCL,8,3,28,Populus tremula x P. tremuloides,T89
Sample 63,P30857_144,KNO3,24,5,38,Populus tremula x P. tremuloides,T89
Sample 64,P30857_145,KCL,8,3,27,Populus tremula x P. tremuloides,T89
Sample 65,P30857_146,KCL,24,5,44,Populus tremula x P. tremuloides,T89
Sample 66,P30857_147,KCL,48,6,51,Populus tremula x P. tremuloides,T89
Sample 67,P30857_148,KCL,12,4,33,Populus tremula x P. tremuloides,T89
Sample 68,P30857_149,KCL,24,5,42,Populus tremula x P. tremuloides,T89
Sample 69,P30857_150,KCL,12,4,35,Populus tremula x P. tremuloides,T89
Sample 70,P30857_151,KNO3,12,4,31,Populus tremula x P. tremuloides,T89
Sample 71,P30857_152,KNO3,12,4,30,Populus tremula x P. tremuloides,T89
