genes,type,filename
Potra2n738s36638,upregulated,KNO3_12h_vs_KCL_12h
Potra2n7c15738,upregulated,KNO3_12h_vs_KCL_12h
Potra2n10c20792,upregulated,KNO3_2h_vs_KCL_2h
Potra2n10c21240,upregulated,KNO3_2h_vs_KCL_2h
Potra2n10c21293,upregulated,KNO3_2h_vs_KCL_2h
Potra2n10c21610,upregulated,KNO3_2h_vs_KCL_2h
Potra2n11c23391,upregulated,KNO3_2h_vs_KCL_2h
Potra2n12c23757,upregulated,KNO3_2h_vs_KCL_2h
Potra2n12c23912,upregulated,KNO3_2h_vs_KCL_2h
Potra2n12c24465,upregulated,KNO3_2h_vs_KCL_2h
Potra2n13c25668,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c26937,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27006,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27135,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27340,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27393,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27409,upregulated,KNO3_2h_vs_KCL_2h
Potra2n14c27478,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c27976,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c28440,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c28441,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c28480,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c28643,upregulated,KNO3_2h_vs_KCL_2h
Potra2n15c28859,upregulated,KNO3_2h_vs_KCL_2h
Potra2n16c30193,upregulated,KNO3_2h_vs_KCL_2h
Potra2n17c30668,upregulated,KNO3_2h_vs_KCL_2h
Potra2n17c31519,upregulated,KNO3_2h_vs_KCL_2h
Potra2n17c31530,upregulated,KNO3_2h_vs_KCL_2h
Potra2n17c31885,upregulated,KNO3_2h_vs_KCL_2h
Potra2n18c32125,upregulated,KNO3_2h_vs_KCL_2h
Potra2n18c32440,upregulated,KNO3_2h_vs_KCL_2h
Potra2n18c32565,upregulated,KNO3_2h_vs_KCL_2h
Potra2n199s34916,upregulated,KNO3_2h_vs_KCL_2h
Potra2n19c33457,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c1053,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c1486,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c1954,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c2120,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c2237,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c2361,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c2895,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c3167,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c318,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c322,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c3259,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c3303,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c3307,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c366,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c3844,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c494,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c496,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c679,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c685,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c723,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c796,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c827,upregulated,KNO3_2h_vs_KCL_2h
Potra2n1c831,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c4551,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c4565,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c4598,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c4957,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c5243,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c5397,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c6001,upregulated,KNO3_2h_vs_KCL_2h
Potra2n2c6137,upregulated,KNO3_2h_vs_KCL_2h
Potra2n3c6882,upregulated,KNO3_2h_vs_KCL_2h
Potra2n3c6974,upregulated,KNO3_2h_vs_KCL_2h
Potra2n3c7064,upregulated,KNO3_2h_vs_KCL_2h
Potra2n3c7270,upregulated,KNO3_2h_vs_KCL_2h
Potra2n3c7503,upregulated,KNO3_2h_vs_KCL_2h
Potra2n426s35633,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c10024,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c10074,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c10189,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c8518,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c8622,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c8639,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c9349,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c9465,upregulated,KNO3_2h_vs_KCL_2h
Potra2n4c9742,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c10502,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11037,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11091,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11320,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11357,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11517,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c11625,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c12431,upregulated,KNO3_2h_vs_KCL_2h
Potra2n5c12621,upregulated,KNO3_2h_vs_KCL_2h
Potra2n650s36268,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c12957,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c13008,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c13502,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c14477,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c14860,upregulated,KNO3_2h_vs_KCL_2h
Potra2n6c15083,upregulated,KNO3_2h_vs_KCL_2h
Potra2n700s36526,upregulated,KNO3_2h_vs_KCL_2h
Potra2n7c15464,upregulated,KNO3_2h_vs_KCL_2h
Potra2n7c15630,upregulated,KNO3_2h_vs_KCL_2h
Potra2n7c15824,upregulated,KNO3_2h_vs_KCL_2h
Potra2n7c15864,upregulated,KNO3_2h_vs_KCL_2h
Potra2n7c16256,upregulated,KNO3_2h_vs_KCL_2h
Potra2n8c16718,upregulated,KNO3_2h_vs_KCL_2h
Potra2n8c17549,upregulated,KNO3_2h_vs_KCL_2h
Potra2n8c17602,upregulated,KNO3_2h_vs_KCL_2h
Potra2n8c18105,upregulated,KNO3_2h_vs_KCL_2h
Potra2n8c18221,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c18689,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19145,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19330,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19481,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19486,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19654,upregulated,KNO3_2h_vs_KCL_2h
Potra2n9c19920,upregulated,KNO3_2h_vs_KCL_2h
Potra2n10c20373,downregulated,KNO3_2h_vs_KCL_2h
Potra2n10c20416,downregulated,KNO3_2h_vs_KCL_2h
