X,baseMean,log2FoldChange,padj,timepoint,level in KNO3,description,kegg_description,atg_description,go_description,pfam_description,t_factor
Potra2n7c15738,16.70352498,2.934356379,0.037619638,KNO3_12h_vs_KCL_12h,Upregulated,None available,0,0,0,0,No
Potra2n738s36638,5.966439505,5.823601207,0.034245535,KNO3_12h_vs_KCL_12h,Upregulated,sp|Q5VNW5|IMCL2_ORYSJ Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2 OS=Oryza sativa subsp. japonica OX=39947 GN=IMCEL2 PE=2 SV=1,0,AT5G15860-prenylcysteine methylesterase prenylcysteine methylesterase,GO:0006508-proteolysis;GO:0008236-serine-type peptidase activity,PF00326-Prolyl oligopeptidase family,No
Potra2n1c3617,16.8297369,-2.235767139,0.000803144,KNO3_2h_vs_KCL_2h,Downregulated,"sp|Q5JMR9|TRXY_ORYSJ Thioredoxin Y, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0963400 PE=3 SV=2",0,AT1G11530-C-terminal cysteine residue is changed to a serine 1 C-terminal cysteine residue is changed to a serine 1,GO:0045454-cell redox homeostasis,PF00085-Thioredoxin,No
Potra2n12c23799,281.1790244,-1.87378379,4.30E-08,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q06593|OPT2_YEAST Oligopeptide transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OPT2 PE=1 SV=1,0,AT5G53510-oligopeptide transporter 9 oligopeptide transporter 9,GO:0055085-transmembrane transport,PF03169-OPT oligopeptide transporter protein,No
Potra2n11c22562,27.62289505,-1.769755864,0.034582647,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9P6J2|PCL1_SCHPO Fe(2+)/Mn(2+) transporter pcl1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pcl1 PE=1 SV=1,0,AT3G25190-Vacuolar iron transporter (VIT) family protein Vacuolar iron transporter (VIT) family protein,GO:0030026-cellular manganese ion homeostasis;GO:0005384-manganese ion transmembrane transporter activity,PF01988-VIT family,No
Potra2n5c10864,14.74141496,-1.547445289,0.021168624,KNO3_2h_vs_KCL_2h,Downregulated,sp|O49651|LBD32_ARATH LOB domain-containing protein 32 OS=Arabidopsis thaliana OX=3702 GN=LBD32 PE=2 SV=1,0,AT2G42430-lateral organ boundaries-domain 16 lateral organ boundaries-domain 16,0,PF03195-Lateral organ boundaries (LOB) domain,AS2-LOB
Potra2n12c24072,3635.534351,-1.526944146,1.62E-05,KNO3_2h_vs_KCL_2h,Downregulated,sp|O97860|PPA5_RABIT Tartrate-resistant acid phosphatase type 5 OS=Oryctolagus cuniculus OX=9986 GN=ACP5 PE=2 SV=1,3.1.3.2;3.1.3.2,AT3G17790-purple acid phosphatase 17 purple acid phosphatase 17,GO:0016787-hydrolase activity;GO:0003993-acid phosphatase activity,PF00149-Calcineurin-like phosphoesterase,No
Potra2n6c15267,64.65131162,-1.427481312,0.018385344,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q55A09|Y9963_DICDI Probable serine/threonine-protein kinase DDB_G0272254 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0272254 PE=3 SV=1,0,AT1G53430-Leucine-rich repeat transmembrane protein kinase Leucine-rich repeat transmembrane protein kinase,GO:0006468-protein phosphorylation;GO:0005515-protein binding;GO:0005524-ATP binding;GO:0004672-protein kinase activity,PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat;PF07714-Protein tyrosine kinase;PF11721-Malectin domain;PF13855-Leucine rich repeat,No
Potra2n8c18536,70.72888016,-1.41617216,2.49E-05,KNO3_2h_vs_KCL_2h,Downregulated,sp|O04023|SRC2_ARATH Protein SRC2 homolog OS=Arabidopsis thaliana OX=3702 GN=SRC2 PE=1 SV=1,0,AT3G16510-Calcium-dependent lipid-binding (CaLB domain) family protein Calcium-dependent lipid-binding (CaLB domain) family protein,0,PF00168-C2 domain,No
Potra2n2c6179,29.71427711,-1.390405803,0.026730151,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q687E1|NPP_HORVU Nucleotide pyrophosphatase/phosphodiesterase (Fragments) OS=Hordeum vulgare OX=4513 GN=npp PE=1 SV=2,3.1.3.2;3.1.3.2,AT2G16430-purple acid phosphatase 10 purple acid phosphatase 10,GO:0016787-hydrolase activity;GO:0046872-metal ion binding;GO:0003993-acid phosphatase activity,"PF00149-Calcineurin-like phosphoesterase;PF14008-Iron/zinc purple acid phosphatase-like protein C;PF16656-Purple acid Phosphatase, N-terminal domain",No
Potra2n10c20757,43.39611756,-1.341475713,0.00724878,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q6ICW6|WNK11_ARATH Probable serine/threonine-protein kinase WNK11 OS=Arabidopsis thaliana OX=3702 GN=WNK11 PE=2 SV=1,0,AT3G55950-CRINKLY4 related 3 CRINKLY4 related 3,GO:0006468-protein phosphorylation;GO:0005524-ATP binding;GO:0004672-protein kinase activity,PF13540-Regulator of chromosome condensation (RCC1) repeat;PF00069-Protein kinase domain,No
Potra2n14c27467,44.14451808,-1.318603683,0.031657993,KNO3_2h_vs_KCL_2h,Downregulated,sp|A7ZMF8|AROD_ECO24 3-dehydroquinate dehydratase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=aroD PE=3 SV=1,1.1.1.25,"AT3G06350-dehydroquinate dehydratase, putative / shikimate dehydrogenase dehydroquinate dehydratase, putative / shikimate dehydrogenase",GO:0003824-catalytic activity;GO:0003855-3-dehydroquinate dehydratase activity;GO:0055114-oxidation-reduction process;GO:0004764-shikimate 3-dehydrogenase (NADP+) activity,PF01488-Shikimate / quinate 5-dehydrogenase;PF08501-Shikimate dehydrogenase substrate binding domain;PF18317-Shikimate 5'-dehydrogenase C-terminal domain;PF01487-Type I 3-dehydroquinase,No
Potra2n14c26487,3088.410495,-1.227224449,0.009665356,KNO3_2h_vs_KCL_2h,Downregulated,sp|B4GHE3|ASPG2_DROPE L-asparaginase-like protein GL17509 OS=Drosophila persimilis OX=7234 GN=GL17509 PE=3 SV=1,0,AT3G16150-N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein,GO:0016787-hydrolase activity,PF01112-Asparaginase,No
Potra2n2c5098,256.0167438,-1.19698493,4.22E-08,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,AT1G02020-nitroreductase family protein nitroreductase family protein,GO:0016491-oxidoreductase activity,PF00881-Nitroreductase family,No
Potra2n10c20416,35.15502352,-1.183480418,0.002789702,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9R189|UN13D_RAT Protein unc-13 homolog D OS=Rattus norvegicus OX=10116 GN=Unc13d PE=1 SV=1,0,AT5G04220-Calcium-dependent lipid-binding (CaLB domain) family protein Calcium-dependent lipid-binding (CaLB domain) family protein,GO:0008289-lipid binding,PF17047-Synaptotagmin-like mitochondrial-lipid-binding domain;PF00168-C2 domain;PF00168-C2 domain,No
Potra2n7c16596,254.5907124,-1.170787631,0.044889272,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q6DC77|MPRGB_DANRE Membrane progestin receptor gamma-B OS=Danio rerio OX=7955 GN=paqr5b PE=2 SV=1,0,AT4G37680-heptahelical protein 4 heptahelical protein 4,GO:0016021-integral component of membrane,PF03006-Haemolysin-III related,No
Potra2n17c30939,178.5390622,-1.155962564,0.000100633,KNO3_2h_vs_KCL_2h,Downregulated,sp|F4I8K2|RBL8_ARATH RHOMBOID-like protein 8 OS=Arabidopsis thaliana OX=3702 GN=KOM PE=2 SV=1,0,AT5G38510-Rhomboid-related intramembrane serine protease family protein Rhomboid-related intramembrane serine protease family protein,GO:0004252-serine-type endopeptidase activity;GO:0016021-integral component of membrane,PF01694-Rhomboid family,No
Potra2n16c29536,34.66943595,-1.143747138,0.035267254,KNO3_2h_vs_KCL_2h,Downregulated,"sp|Q9LDH1|SIB1_ARATH Sigma factor binding protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SIB1 PE=1 SV=1",0,AT3G56710-sigma factor binding protein 1 sigma factor binding protein 1,GO:0051091-positive regulation of DNA binding transcription factor activity,PF05678-VQ motif,No
