Potra	Potri	AT_best_hit	AT_Gene_Names	AT_description
Potra2n1c1	Potri.001G000400	AT2G30942	ATSSSPTB	ATSSSPTB
Potra2n1c3	Potri.001G000500	AT1G55570	ATsks12	ATsks12
Potra2n1c4	Potri.001G000600	AT1G55570	ATsks12	ATsks12
Potra2n1c6	Potri.001G000700	AT2G32080	ATPUR ALPHA-1	ATPUR ALPHA-1
Potra2n1c8	Potri.001G000800	AT1G55550	None	AT1G55550
Potra2n1c9	Potri.001G000900	AT3G13410	None	AT3G13410
Potra2n1c10	Potri.001G001000	AT4G26415	None	AT4G26415
Potra2n1c11	Potri.001G001100	AT2G03090	ATEXPA15	ATEXPA15
Potra2n1c13	Potri.001G001300	AT4G26410	ATRHIP1	ATRHIP1
Potra2n1c14	Potri.001G001400	AT1G55535	None	AT1G55535
Potra2n1c15	Potri.001G001500	AT5G56340	ATCRT1	ATCRT1
Potra2n1c16	Potri.001G001600	AT5G56350	None	AT5G56350
Potra2n1c17	Potri.001G001700	AT5G56360	ATPSL4	ATPSL4
Potra2n1c19	Potri.001G002000	AT1G55500	None	AT1G55500
Potra2n1c21	Potri.001G002200	AT4G26330	ATUNE17	ATUNE17
Potra2n1c22	Potri.001G002300	AT5G56460	ATPBL16	ATPBL16
Potra2n1c20	Potri.001G002300	None	None	None
Potra2n1c23	Potri.001G002500	AT3G13470	ATCPN60BETA2	ATCPN60BETA2
Potra2n1c24	Potri.001G002600	AT5G56510	ATPUM12	ATPUM12
Potra2n1c25	Potri.001G003100	AT5G36110	ATCYP716A1	ATCYP716A1
Potra2n3c6483	Potri.001G003100	AT5G36110	ATCYP716A1	ATCYP716A1
Potra2n1c27	Potri.001G003200	AT4G04220	ATRLP46	ATRLP46
Potra2n1c26	Potri.001G003300	AT3G13480	None	AT3G13480
Potra2n1c28	Potri.001G003400	AT4G09830	None	AT4G09830
Potra2n1c30	Potri.001G003500	AT5G56520	None	AT5G56520
Potra2n13c25779	Potri.001G003500	None	None	None
Potra2n13c25780	Potri.001G003500	None	None	None
Potra2n1c31	Potri.001G003700	AT5G23710	None	AT5G23710
Potra2n1c33	Potri.001G003800	AT1G55360	None	AT1G55360
Potra2n1c34	Potri.001G003900	AT1G55350	ATDEK1	ATDEK1
Potra2n1c35	Potri.001G004000	AT1G55340	None	AT1G55340
Potra2n1c37	Potri.001G004200	AT1G55325	ATGCT	ATGCT
Potra2n1c38	Potri.001G004300	AT4G26310	None	AT4G26310
Potra2n1c39	Potri.001G004432	None	None	None
Potra2n1c40	Potri.001G004500	AT5G19760	None	AT5G19760
Potra2n1c41	Potri.001G004600	AT5G19770	ATTUA3	ATTUA3
Potra2n1c42	Potri.001G004700	AT5G19790	ATRAP2.11	ATRAP2.11
Potra2n1c44	Potri.001G004800	AT5G19820	ATKETCH1	ATKETCH1
Potra2n1c45	Potri.001G004900	None	None	None
Potra2n1c46	Potri.001G005000	AT5G19830	None	AT5G19830
Potra2n1c48	Potri.001G005100	AT3G13540	ATMYB5	ATMYB5
Potra2n1c50	Potri.001G005300	AT5G19850	None	AT5G19850
Potra2n1c51	Potri.001G005400	AT5G11950	ATLOG8	ATLOG8
Potra2n1c52	Potri.001G005500	AT4G08810	ATSUB1	ATSUB1
Potra2n1c53	Potri.001G005600	AT3G13600	None	AT3G13600
Potra2n1c55	Potri.001G005600	AT3G13600	None	AT3G13600
Potra2n1c56	Potri.001G005900	AT4G25650	ATACD1-LIKE	ATACD1-LIKE
Potra2n1c57	Potri.001G006100	AT2G41890	None	AT2G41890
Potra2n1c58	Potri.001G006200	AT3G13600	None	AT3G13600
Potra2n1c59	Potri.001G006300	AT1G55300	ATTAF7	ATTAF7
Potra2n1c60	Potri.001G006500	AT3G13560	None	AT3G13560
Potra2n1c2408	Potri.001G006600	AT1G55320	ATAAE18	ATAAE18
Potra2n1c61	Potri.001G006600	AT1G55320	ATAAE18	ATAAE18
Potra2n1c2409	Potri.001G006700	AT1G55320	ATAAE18	ATAAE18
Potra2n1c62	Potri.001G006700	AT1G55320	ATAAE18	ATAAE18
Potra2n1c2374	Potri.001G006800	AT3G13610	ATF6H1	ATF6H1
Potra2n1c65	Potri.001G007100	AT3G13610	ATF6H1	ATF6H1
Potra2n1c66	Potri.001G007300	AT3G13620	ATPUT4	ATPUT4
Potra2n1c67	Potri.001G007300	AT3G13620	ATPUT4	ATPUT4
Potra2n1c68	Potri.001G007400	AT5G09280	None	AT5G09280
Potra2n1c70	Potri.001G007501	AT2G20142	None	AT2G20142
Potra2n1c76	Potri.001G007501	AT2G20142	None	AT2G20142
Potra2n19c34390	Potri.001G007501	None	None	None
Potra2n1c72	Potri.001G007600	AT5G17230	ATPSY	ATPSY
Potra2n1c73	Potri.001G007700	AT5G17230	ATPSY	ATPSY
Potra2n1c77	Potri.001G007700	AT5G17230	ATPSY	ATPSY
Potra2n1c78	Potri.001G007800	AT2G42500	ATPP2A-3	ATPP2A-3
Potra2n1c79	Potri.001G007900	AT2G42520	ATRH37	ATRH37
Potra2n1c80	Potri.001G008000	AT1G55270	ATSAGL1	ATSAGL1
Potra2n1c82	Potri.001G008100	None	None	None
Potra2n1c88	Potri.001G008300	AT1G55265	None	AT1G55265
Potra2n1c89	Potri.001G008400	AT5G19860	None	AT5G19860
Potra2n1c90	Potri.001G008500	AT1G55260	ATLTPG6	ATLTPG6
Potra2n1c91	Potri.001G008600	AT1G11880	None	AT1G11880
Potra2n1c92	Potri.001G008700	AT3G32940	ATKH17	ATKH17
Potra2n1c93	Potri.001G008800	AT1G55250	ATHUB2	ATHUB2
Potra2n3c6529	Potri.001G008800	AT1G55250	ATHUB2	ATHUB2
Potra2n1c94	Potri.001G008900	AT1G55230	None	AT1G55230
Potra2n1c95	Potri.001G009000	AT1G55240	None	AT1G55240
Potra2n1c96	Potri.001G009100	AT1G58170	None	AT1G58170
Potra2n1c97	Potri.001G009200	AT5G19875	None	AT5G19875
Potra2n1c98	Potri.001G009300	AT5G19875	None	AT5G19875
Potra2n1c100	Potri.001G009501	AT2G20480	None	AT2G20480
Potra2n1c101	Potri.001G009600	AT1G69770	ATCMT3	ATCMT3
